"n","methods","avg_regret","std","lb","ub"
400,"SPO_Correct_CDM",2.98807642150247,0.361307837398025,2.88792699850984,3.08822584449511
400,"SPO_Wrong_CDM",3.03041271011726,0.36331039909405,2.92970820534226,3.13111721489225
600,"SPO_Correct_CDM",2.96608339782513,0.370727613521276,2.86332294610348,3.06884384954678
600,"SPO_Wrong_CDM",3.03176007400897,0.34825189674757,2.93522957313047,3.12829057488747
800,"SPO_Correct_CDM",2.48114826295471,0.519619509927173,2.33711708314502,2.62517944276439
800,"SPO_Wrong_CDM",2.59726735154041,0.515073544464063,2.45449624906908,2.74003845401174
1000,"SPO_Correct_CDM",1.76093599649201,0.484392096640866,1.62666935746714,1.89520263551688
1000,"SPO_Wrong_CDM",1.9462830744822,0.494445253325675,1.80922984259379,2.08333630637062
1200,"SPO_Correct_CDM",1.28650829265326,0.375647844057925,1.18238402260764,1.39063256269887
1200,"SPO_Wrong_CDM",1.49172921376239,0.40550459761457,1.37932907385837,1.60412935366642
1400,"SPO_Correct_CDM",0.978762473025018,0.251592954339532,0.909024464053019,1.04850048199702
1400,"SPO_Wrong_CDM",1.25017081193189,0.235568783629803,1.18487447647041,1.31546714739336
1600,"SPO_Correct_CDM",0.829711340903583,0.184695804871018,0.778516275719829,0.880906406087336
1600,"SPO_Wrong_CDM",1.14048727225671,0.204894282624946,1.0836934746819,1.19728106983153
400,"SPO_Correct_Wrong_CDM",3.06431852728121,0.406873806404234,2.95153886206373,3.17709819249869
400,"SPO_Wrong_Wrong_CDM",3.06794998561827,0.37744528980583,2.96332748903041,3.17257248220613
600,"SPO_Correct_Wrong_CDM",2.95670710991648,0.389331232521756,2.84878999809609,3.06462422173687
600,"SPO_Wrong_Wrong_CDM",2.95838048748541,0.404179295871471,2.84634770248245,3.07041327248838
800,"SPO_Correct_Wrong_CDM",2.88568498342721,0.31816267504014,2.79749478929101,2.97387517756341
800,"SPO_Wrong_Wrong_CDM",2.90574694515602,0.314141921652179,2.81867124699837,2.99282264331367
1000,"SPO_Correct_Wrong_CDM",2.88823216163817,0.275966604134763,2.81173812162961,2.96472620164674
1000,"SPO_Wrong_Wrong_CDM",2.92618141284287,0.300811502364741,2.84280071839591,3.00956210728983
1200,"SPO_Correct_Wrong_CDM",2.84074204536117,0.331399114642563,2.74888289735392,2.93260119336841
1200,"SPO_Wrong_Wrong_CDM",2.85634586222376,0.329027587751148,2.76514406793321,2.9475476565143
1400,"SPO_Correct_Wrong_CDM",2.77851751670625,0.318446560475629,2.69024863354198,2.86678639987053
1400,"SPO_Wrong_Wrong_CDM",2.77796676887936,0.318877194424119,2.68957852007449,2.86635501768423
1600,"SPO_Correct_Wrong_CDM",2.73174436508742,0.304755262629296,2.6472705160669,2.81621821410795
1600,"SPO_Wrong_Wrong_CDM",2.7375432443165,0.296774294052893,2.65528160692029,2.81980488171271
