zstar_avg_test,ETO_regret,n
20.299868713125193,3.1120752419949373,400
20.299868713125193,3.820085661268789,400
20.299868713125193,2.9813425808615515,400
20.299868713125193,3.340123582482398,400
20.299868713125193,2.9214246571342537,400
20.299868713125193,3.795354439294664,400
20.299868713125193,3.3347744588725887,400
20.299868713125193,3.0663837664336877,400
20.299868713125193,2.3199316318199417,400
20.299868713125193,2.4656848781052805,400
20.299868713125193,3.2167718355684447,400
20.299868713125193,3.213704895193116,400
20.299868713125193,3.068941358525423,400
20.299868713125193,3.510557391915154,400
20.299868713125193,3.3972202764656383,400
20.299868713125193,2.8700816201572565,400
20.299868713125193,3.2719238766156713,400
20.299868713125193,2.8259347521828526,400
20.299868713125193,3.1159115472085275,400
20.299868713125193,3.281054728614551,400
20.299868713125193,2.742777586002877,400
20.299868713125193,3.080351298590245,400
20.299868713125193,3.0852528478466055,400
20.299868713125193,2.0726192715157854,400
20.299868713125193,3.4089417292667803,400
20.299868713125193,3.3228407178897887,400
20.299868713125193,3.572263180426707,400
20.299868713125193,3.098504882065158,400
20.299868713125193,3.260080268990936,400
20.299868713125193,3.1195178769944016,400
20.299868713125193,3.660488420265459,400
20.299868713125193,2.8538600582090785,400
20.299868713125193,3.016113514941463,400
20.299868713125193,2.913675799658574,400
20.299868713125193,3.5148292788564492,400
20.299868713125193,2.8250506221439924,400
20.299868713125193,3.060955749050128,400
20.299868713125193,2.7815138217729722,400
20.299868713125193,3.324060864667343,400
20.299868713125193,2.9494111255619266,400
20.299868713125193,2.545276343061832,400
20.299868713125193,3.2084698794010293,400
20.299868713125193,3.5203186375612456,400
20.299868713125193,2.1611551529714195,400
20.299868713125193,2.354074733735769,400
20.299868713125193,2.9527435499666046,400
20.299868713125193,2.710825829467065,400
20.299868713125193,3.1321993529815946,400
20.299868713125193,3.395690880408044,400
20.299868713125193,3.0455968205116717,400
20.299868713125193,2.9348203043399175,600
20.299868713125193,3.432537961853186,600
20.299868713125193,3.02530196867189,600
20.299868713125193,3.1062874124039834,600
20.299868713125193,3.5304379199064995,600
20.299868713125193,3.3240668956946866,600
20.299868713125193,3.3112407335270904,600
20.299868713125193,2.6761819809815024,600
20.299868713125193,2.9511373709708195,600
20.299868713125193,3.231684042483895,600
20.299868713125193,2.967000852715298,600
20.299868713125193,2.71018637836475,600
20.299868713125193,2.6381637995603002,600
20.299868713125193,2.274969172722722,600
20.299868713125193,2.6103419579624796,600
20.299868713125193,3.619291603065688,600
20.299868713125193,3.3071967239102547,600
20.299868713125193,2.676354231978994,600
20.299868713125193,3.8566083085146396,600
20.299868713125193,3.244296371315832,600
20.299868713125193,3.4362255526638354,600
20.299868713125193,3.091760036903136,600
20.299868713125193,3.087002635308155,600
20.299868713125193,2.818452968041567,600
20.299868713125193,3.243062969231802,600
20.299868713125193,3.4153618769979475,600
