"n","methods","avg_regret","std","method_type","setting","lb","ub"
1000,"SPO_wrong_Double_Robust",2.12249005795636,0.394442474181785,"SPO Double Robust Sample Sigma","Wrong linear",2.01315618222984,2.23182393368288
1200,"SPO_correct_Double_Robust",1.90517500839121,0.391563432763511,"SPO Double Robust Sample Sigma","Correct linear",1.79663916223108,2.01371085455134
1200,"SPO_wrong_Double_Robust",1.96827230250979,0.394083250922021,"SPO Double Robust Sample Sigma","Wrong linear",1.85903799839082,2.07750660662876
1400,"SPO_correct_Double_Robust",1.8922278816329,0.318805811778658,"SPO Double Robust Sample Sigma","Correct linear",1.80385941908788,1.98059634417793
1400,"SPO_wrong_Double_Robust",1.90478102157409,0.344691226457404,"SPO Double Robust Sample Sigma","Wrong linear",1.80923748814582,2.00032455500236
1600,"SPO_correct_Double_Robust",1.83182899164572,0.344036791851343,"SPO Double Robust Sample Sigma","Correct linear",1.73646685823539,1.92719112505606
1600,"SPO_wrong_Double_Robust",1.91317698965383,0.345925706356205,"SPO Double Robust Sample Sigma","Wrong linear",1.81729127585535,2.00906270345231
400,"SPO_correct_Lambda_Double_Robust",2.49876629639338,0.348579424955752,"SPO Lambda Double Robust Sample Sigma","Correct linear",2.4021450093274,2.59538758345936
400,"SPO_wrong_Lambda_Double_Robust",2.43894762165989,0.379809430572204,"SPO Lambda Double Robust Sample Sigma","Wrong linear",2.33366981868473,2.54422542463504
600,"SPO_correct_Lambda_Double_Robust",2.26950279947359,0.38349626903399,"SPO Lambda Double Robust Sample Sigma","Correct linear",2.16320305701527,2.37580254193191
600,"SPO_wrong_Lambda_Double_Robust",2.31035781700876,0.378092866898801,"SPO Lambda Double Robust Sample Sigma","Wrong linear",2.20555582120861,2.4151598128089
800,"SPO_correct_Lambda_Double_Robust",2.08356089693196,0.373601937927226,"SPO Lambda Double Robust Sample Sigma","Correct linear",1.98000372313303,2.18711807073089
800,"SPO_wrong_Lambda_Double_Robust",2.19501520022848,0.420483306750777,"SPO Lambda Double Robust Sample Sigma","Wrong linear",2.07846317397743,2.31156722647954
1000,"SPO_correct_Lambda_Double_Robust",2.10685066093262,0.360993924652012,"SPO Lambda Double Robust Sample Sigma","Correct linear",2.00678825011389,2.20691307175134
1000,"SPO_wrong_Lambda_Double_Robust",2.17703592416489,0.3543136842232,"SPO Lambda Double Robust Sample Sigma","Wrong linear",2.07882518152258,2.27524666680721
1200,"SPO_correct_Lambda_Double_Robust",2.00468281157331,0.377621013196662,"SPO Lambda Double Robust Sample Sigma","Correct linear",1.90001160694655,2.10935401620007
1200,"SPO_wrong_Lambda_Double_Robust",2.0416396608348,0.374871312146659,"SPO Lambda Double Robust Sample Sigma","Wrong linear",1.93773063445345,2.14554868721615
1400,"SPO_correct_Lambda_Double_Robust",1.86973169720049,0.360720352798517,"SPO Lambda Double Robust Sample Sigma","Correct linear",1.76974511663077,1.96971827777022
1400,"SPO_wrong_Lambda_Double_Robust",1.93323465612768,0.314932988135109,"SPO Lambda Double Robust Sample Sigma","Wrong linear",1.84593968552805,2.02052962672732
1600,"SPO_correct_Lambda_Double_Robust",1.81936618235666,0.324999278489934,"SPO Lambda Double Robust Sample Sigma","Correct linear",1.72928097842588,1.90945138628744
1600,"SPO_wrong_Lambda_Double_Robust",1.87710707658901,0.299395522696819,"SPO Lambda Double Robust Sample Sigma","Wrong linear",1.79411887168153,1.96009528149649
400,"SPO_correct_Clip_Double_Robust",2.40867065654382,0.37485351391586,"SPO Clip Double Robust Sample Sigma","Correct linear",2.30476656358035,2.51257474950729
400,"SPO_wrong_Clip_Double_Robust",2.38602171831631,0.38848904579793,"SPO Clip Double Robust Sample Sigma","Wrong linear",2.27833804874575,2.49370538788687
600,"SPO_correct_Clip_Double_Robust",2.23193917387454,0.344991283018472,"SPO Clip Double Robust Sample Sigma","Correct linear",2.13631246901088,2.3275658787382
600,"SPO_wrong_Clip_Double_Robust",2.25367091661565,0.354324346703524,"SPO Clip Double Robust Sample Sigma","Wrong linear",2.15545721848458,2.35188461474673
800,"SPO_correct_Clip_Double_Robust",2.07010142789266,0.383722033855779,"SPO Clip Double Robust Sample Sigma","Correct linear",1.96373910661846,2.17646374916687
800,"SPO_wrong_Clip_Double_Robust",2.14495212978106,0.41448442643504,"SPO Clip Double Robust Sample Sigma","Wrong linear",2.03006290831871,2.2598413512434
1000,"SPO_correct_Clip_Double_Robust",2.03750826622777,0.327775505817976,"SPO Clip Double Robust Sample Sigma","Correct linear",1.94665353134244,2.1283630011131
1000,"SPO_wrong_Clip_Double_Robust",2.09332105173115,0.371259231533373,"SPO Clip Double Robust Sample Sigma","Wrong linear",1.99041324301458,2.19622886044773
1200,"SPO_correct_Clip_Double_Robust",1.92544543697675,0.397582831583042,"SPO Clip Double Robust Sample Sigma","Correct linear",1.81524109858883,2.03564977536467
1200,"SPO_wrong_Clip_Double_Robust",1.96827625993073,0.357987285183584,"SPO Clip Double Robust Sample Sigma","Wrong linear",1.86904724705344,2.06750527280803
1400,"SPO_correct_Clip_Double_Robust",1.84112519886279,0.34546012489675,"SPO Clip Double Robust Sample Sigma","Correct linear",1.74536853766072,1.93688186006485
1400,"SPO_wrong_Clip_Double_Robust",1.88367406640138,0.322638312803585,"SPO Clip Double Robust Sample Sigma","Wrong linear",1.79424328877061,1.97310484403214
1600,"SPO_correct_Clip_Double_Robust",1.76558584904106,0.314796790217641,"SPO Clip Double Robust Sample Sigma","Correct linear",1.67832863057807,1.85284306750405
1600,"SPO_wrong_Clip_Double_Robust",1.81660979203167,0.295822207365624,"SPO Clip Double Robust Sample Sigma","Wrong linear",1.73461205960098,1.89860752446236
