"n","methods","avg_regret","std","method_type","setting","lb","ub"
1600,"SPO_wrong_Lambda_Double_Robust",0.457098678061935,0.0357165517772598,"SPO Lambda Double Robust Sample Sigma","Wrong linear",0.447198555004713,0.466998801119157
400,"SPO_correct_Clip_Double_Robust",0.46410955325146,0.176053371752355,"SPO Clip Double Robust","Correct linear",0.415310048308856,0.512909058194063
400,"SPO_wrong_Clip_Double_Robust",0.930766811036538,0.207049803922465,"SPO Clip Double Robust","Wrong linear",0.873375533440946,0.988158088632131
600,"SPO_correct_Clip_Double_Robust",0.246749799006968,0.120470431483466,"SPO Clip Double Robust","Correct linear",0.213357099065473,0.280142498948464
600,"SPO_wrong_Clip_Double_Robust",0.676323339677821,0.136876469395433,"SPO Clip Double Robust","Wrong linear",0.638383118037623,0.71426356131802
800,"SPO_correct_Clip_Double_Robust",0.139319215045336,0.0586405589983649,"SPO Clip Double Robust","Correct linear",0.123064881372573,0.155573548718099
800,"SPO_wrong_Clip_Double_Robust",0.589982763902896,0.0914224495626486,"SPO Clip Double Robust","Wrong linear",0.56464175375983,0.615323774045962
1000,"SPO_correct_Clip_Double_Robust",0.0901514829970864,0.0375035022738228,"SPO Clip Double Robust","Correct linear",0.0797560425328688,0.100546923461304
1000,"SPO_wrong_Clip_Double_Robust",0.531495652275086,0.0570453565350622,"SPO Clip Double Robust","Wrong linear",0.515683486166156,0.547307818384015
1200,"SPO_correct_Clip_Double_Robust",0.0620968633928514,0.0290508324183656,"SPO Clip Double Robust","Correct linear",0.0540443834768124,0.0701493433088904
1200,"SPO_wrong_Clip_Double_Robust",0.500257899370992,0.0452604729818366,"SPO Clip Double Robust","Wrong linear",0.487712336323846,0.512803462418137
1400,"SPO_correct_Clip_Double_Robust",0.0502233440197537,0.0287274928134588,"SPO Clip Double Robust","Correct linear",0.042260489269599,0.0581861987699085
1400,"SPO_wrong_Clip_Double_Robust",0.495432917676192,0.0441184438403698,"SPO Clip Double Robust","Wrong linear",0.483203908956742,0.507661926395642
1600,"SPO_correct_Clip_Double_Robust",0.041561268746146,0.0251266953375108,"SPO Clip Double Robust","Correct linear",0.0345965041346568,0.0485260333576353
1600,"SPO_wrong_Clip_Double_Robust",0.482917623098996,0.0390812814043928,"SPO Clip Double Robust","Wrong linear",0.472084844572382,0.49375040162561
