SPO_wrong,ETO_wrong,SPO_correct,ETO_correct,n
2044.7147090435028,28.14853835105896,2168.6718056201935,25.997029066085815,400
2027.0295991897583,29.410318851470947,2167.5932528972626,26.71837615966797,400
2044.4215354919434,30.011916875839233,2159.7102098464966,26.656835317611694,400
2055.9138996601105,28.863638401031494,2162.000147342682,25.830127239227295,400
2061.41766500473,29.345150232315063,2156.103708267212,24.149633646011353,400
2033.0048813819885,29.28090000152588,2163.6602034568787,26.87228560447693,400
2046.8264999389648,29.936707019805908,2170.055950641632,25.513639450073242,400
2017.84481716156,28.997422218322754,2148.988253593445,28.410128116607666,400
2057.7399966716766,28.640989780426025,2155.0860517024994,25.789493799209595,400
2046.0512516498566,29.171063661575317,2152.5630135536194,26.965495109558105,400
2011.525443315506,29.16659641265869,2144.4622650146484,28.965596199035645,400
1984.5875225067139,29.742175102233887,2157.318664073944,30.019492626190186,400
2008.7303838729858,29.15541982650757,2179.1942884922028,27.128218173980713,400
1996.848793745041,29.138484954833984,2163.821330308914,29.45703673362732,400
2053.2055428028107,29.548763751983643,2150.7905938625336,26.786489009857178,400
2064.3725991249084,29.223669290542603,2156.14998793602,23.487210750579834,400
2037.7230229377747,29.07011580467224,2161.3991866111755,26.387256145477295,400
2021.0448219776154,29.95372986793518,2169.784917831421,26.99685287475586,400
2038.8729119300842,29.10021424293518,2162.611681699753,27.009583950042725,400
2002.7805061340332,28.45119071006775,2141.441972255707,29.860610723495483,400
2025.5289433002472,29.976430416107178,2165.017125606537,27.268165111541748,400
2017.3108370304108,29.063003063201904,2145.6585309505463,28.417704105377197,400
2027.2246017456055,28.743260383605957,2145.9316465854645,28.48003578186035,400
2006.3960735797882,30.527701377868652,2149.989488363266,29.02833890914917,400
2009.8011128902435,28.775397777557373,2153.206930398941,29.11733102798462,400
2046.3914351463318,30.01584243774414,2163.2520258426666,26.400287628173828,400
2019.6510970592499,29.236368656158447,2154.52490568161,28.411309719085693,400
2035.2964642047882,30.44955825805664,2146.063816308975,28.462281465530396,400
2035.0061249732971,30.71837568283081,2169.58087515831,25.962038278579712,400
2049.8548324108124,30.289963960647583,2156.6923718452454,25.71809697151184,400
2061.092017173767,28.999386072158813,2166.62127828598,20.946766138076782,400
2063.694576740265,28.787465572357178,2152.1164236068726,25.63618755340576,400
2021.92422747612,29.50520944595337,2168.7621598243713,27.639748573303223,400
2065.527565717697,28.700879096984863,2136.360719203949,26.8225679397583,400
2045.9436779022217,29.08299946784973,2165.2681846618652,26.145118713378906,400
2055.058908700943,28.697398900985718,2145.405214548111,27.02793312072754,400
2016.7683186531067,30.172250509262085,2139.547530412674,29.929653644561768,400
2006.1588535308838,29.6914963722229,2168.387156009674,28.111342906951904,400
1996.66428732872,27.637569189071655,2157.888433933258,29.53322982788086,400
2048.0052542686462,29.366644144058228,2146.8253166675568,27.06388759613037,400
2018.5602951049805,28.98871922492981,2177.292053937912,26.77405309677124,400
2030.7972304821014,28.639600038528442,2164.965486049652,26.502976655960083,400
2052.56950879097,29.265033721923828,2156.0906879901886,24.89588737487793,400
2051.9884915351868,29.670182704925537,2165.9595880508423,24.842731475830078,400
2056.694472551346,29.5195574760437,2164.0389103889465,25.144174337387085,400
2038.802319765091,29.09344172477722,2159.1086027622223,27.23719096183777,400
2085.963961839676,29.33142590522766,2160.066679954529,21.08077359199524,400
2053.0586879253387,29.7696692943573,2166.602605819702,21.329228401184082,400
2046.143310546875,29.8791606426239,2160.861165046692,26.27544665336609,400
2003.9437403678894,28.41029167175293,2162.1691184043884,28.331631422042847,400
2122.075826883316,28.870569467544556,2717.819865465164,38.22231984138489,600
2143.9634165763855,29.458479404449463,2671.617790699005,35.427316665649414,600
2156.620710849762,29.727057933807373,2759.0134954452515,30.285688400268555,600
2159.988499403,29.724387168884277,2724.2224440574646,34.6512405872345,600
2118.708390712738,29.30588722229004,2709.893471956253,38.888463735580444,600
2151.9667189121246,29.43098258972168,2744.528021335602,34.26741099357605,600
2109.4003291130066,29.04544758796692,2687.875072956085,35.3123197555542,600
2145.988567352295,28.32515263557434,2701.3544092178345,39.717262268066406,600
2118.7302372455597,29.63770294189453,2720.2994265556335,41.21154284477234,600
2117.6123592853546,29.57683801651001,2711.1754789352417,39.99481916427612,600
2158.5811603069305,29.59652018547058,2714.0406653881073,33.464914321899414,600
2156.708679676056,29.005652904510498,2721.371178627014,33.84077429771423,600
2148.436366558075,29.346177101135254,2741.3594088554382,32.740538358688354,600
2172.2390105724335,28.956480741500854,2723.174777030945,30.966617107391357,600
2161.5064327716827,28.191526889801025,2763.002200126648,29.284550428390503,600
2131.630760192871,28.941388368606567,2742.9903542995453,32.631030559539795,600
2161.7481524944305,28.902165174484253,2698.165104150772,35.53715920448303,600
