"n","methods","avg_regret","std","method_type","setting","lb","ub"
1400,"SPO_wrong_Double_Robust",0.314178572184318,0.0518996385090863,"SPO Double Robust tree Sigma","Wrong linear",0.299792726342603,0.328564418026033
1600,"SPO_correct_Double_Robust",0.0928668588278914,0.0270840916941401,"SPO Double Robust tree Sigma","Correct linear",0.0853595316274032,0.10037418602838
1600,"SPO_wrong_Double_Robust",0.297301779952874,0.0495469871084291,"SPO Double Robust tree Sigma","Wrong linear",0.283568055808755,0.311035504096993
400,"SPO_correct_Lambda_Double_Robust",0.43299167494495,0.209464140648834,"SPO Lambda Double Robust tree Sigma","Correct linear",0.374931177351814,0.491052172538085
400,"SPO_wrong_Lambda_Double_Robust",0.606727939364585,0.207133729022401,"SPO Lambda Double Robust tree Sigma","Wrong linear",0.54931339891814,0.66414247981103
600,"SPO_correct_Lambda_Double_Robust",0.24699720645987,0.121866075106886,"SPO Lambda Double Robust tree Sigma","Correct linear",0.21321765384284,0.2807767590769
600,"SPO_wrong_Lambda_Double_Robust",0.42201722130166,0.126130337473658,"SPO Lambda Double Robust tree Sigma","Wrong linear",0.387055675460799,0.45697876714252
800,"SPO_correct_Lambda_Double_Robust",0.1376992377093,0.0738765226780849,"SPO Lambda Double Robust tree Sigma","Correct linear",0.117221710368087,0.158176765050513
800,"SPO_wrong_Lambda_Double_Robust",0.306350625426471,0.0736941211271128,"SPO Lambda Double Robust tree Sigma","Wrong linear",0.285923657215706,0.326777593637236
1000,"SPO_correct_Lambda_Double_Robust",0.0971163575382802,0.0500404796785156,"SPO Lambda Double Robust tree Sigma","Correct linear",0.0832458442325939,0.110986870843967
1000,"SPO_wrong_Lambda_Double_Robust",0.266255402272482,0.0577948916353048,"SPO Lambda Double Robust tree Sigma","Wrong linear",0.250235475633521,0.282275328911442
1200,"SPO_correct_Lambda_Double_Robust",0.071210873466904,0.0302449914876844,"SPO Lambda Double Robust tree Sigma","Correct linear",0.0628273895443785,0.0795943573894294
1200,"SPO_wrong_Lambda_Double_Robust",0.237020948813716,0.037188490026798,"SPO Lambda Double Robust tree Sigma","Wrong linear",0.226712825289542,0.247329072337891
1400,"SPO_correct_Lambda_Double_Robust",0.0560801588935431,0.0183219398650107,"SPO Lambda Double Robust tree Sigma","Correct linear",0.051001576267711,0.0611587415193753
1400,"SPO_wrong_Lambda_Double_Robust",0.221846134581532,0.0361904249694011,"SPO Lambda Double Robust tree Sigma","Wrong linear",0.211814660576856,0.231877608586207
1600,"SPO_correct_Lambda_Double_Robust",0.0450369786555352,0.0113426463458881,"SPO Lambda Double Robust tree Sigma","Correct linear",0.0418929574936061,0.0481809998174643
1600,"SPO_wrong_Lambda_Double_Robust",0.210664919421443,0.024611353506968,"SPO Lambda Double Robust tree Sigma","Wrong linear",0.203843000277532,0.217486838565354
400,"SPO_correct_Clip_Double_Robust",0.454785823795743,0.209095889461354,"SPO Clip tree Double Robust","Correct linear",0.396827400224051,0.512744247367434
400,"SPO_wrong_Clip_Double_Robust",0.640122060144033,0.199689080940465,"SPO Clip tree Double Robust","Wrong linear",0.584771070865363,0.695473049422703
