"n","methods","avg_regret","std","lb","ub"
400,"SPO_Correct_CDR",3.22971983426378,0.33572379391078,3.13666194632202,3.32277772220553
400,"SPO_Wrong_CDR",3.21074688784562,0.338681121514541,3.11686927051396,3.30462450517728
600,"SPO_Correct_CDR",3.17108299707978,0.422396067536173,3.05400078058884,3.28816521357071
600,"SPO_Wrong_CDR",3.15987196864491,0.403559627220545,3.04801094702877,3.27173299026105
800,"SPO_Correct_CDR",2.486226288011,0.47237295011136,2.35529118643205,2.61716138958995
800,"SPO_Wrong_CDR",2.61849108448862,0.496882057443611,2.48076240495945,2.7562197640178
1000,"SPO_Correct_CDR",1.68957835021438,0.49639815063031,1.55198380281055,1.82717289761821
1000,"SPO_Wrong_CDR",1.84372720564833,0.441219403591421,1.72142742659826,1.9660269846984
1200,"SPO_Correct_CDR",1.26154489240534,0.396123237685824,1.15174513280448,1.3713446520062
1200,"SPO_Wrong_CDR",1.53680219806912,0.383514438634559,1.43049741925447,1.64310697688376
1400,"SPO_Correct_CDR",1.00505460903662,0.24127248336596,0.938177288668717,1.07193192940452
1400,"SPO_Wrong_CDR",1.34650787376369,0.246011847735898,1.27831686861547,1.41469887891192
1600,"SPO_Correct_CDR",0.872538170623539,0.179448699955296,0.822797528719047,0.922278812528031
1600,"SPO_Wrong_CDR",1.23166147486567,0.201425260204711,1.17582924124761,1.28749370848373
400,"SPO_Correct_Wrong_CDR",3.11544360842669,0.330824948643307,3.02374361111471,3.20714360573867
400,"SPO_Wrong_Wrong_CDR",3.12385079881432,0.334455533640977,3.03114445468391,3.21655714294474
600,"SPO_Correct_Wrong_CDR",2.94763939155328,0.313095678975721,2.86085369706981,3.03442508603674
600,"SPO_Wrong_Wrong_CDR",2.97208953443019,0.311524723929597,2.88573928646941,3.05843978239096
800,"SPO_Correct_Wrong_CDR",2.89935276722241,0.326773119708448,2.80877587959112,2.98992965485369
800,"SPO_Wrong_Wrong_CDR",2.91475804927515,0.339496604085409,2.82065439170722,3.00886170684308
1000,"SPO_Correct_Wrong_CDR",2.83264222533438,0.345922518361918,2.73675739520284,2.92852705546593
1000,"SPO_Wrong_Wrong_CDR",2.8128814485897,0.326062943056168,2.72250141188326,2.90326148529613
1200,"SPO_Correct_Wrong_CDR",2.87858969528887,0.331226360430065,2.78677843230627,2.97040095827146
1200,"SPO_Wrong_Wrong_CDR",2.88371175210309,0.326343866111178,2.79325384749856,2.97416965670762
1400,"SPO_Correct_Wrong_CDR",2.82189978487167,0.380280705739419,2.71649135108484,2.92730821865851
1400,"SPO_Wrong_Wrong_CDR",2.83126953365448,0.351971205955497,2.73370809286117,2.92883097444778
1600,"SPO_Correct_Wrong_CDR",2.77671333718896,0.338075281630814,2.68300365010542,2.8704230242725
1600,"SPO_Wrong_Wrong_CDR",2.76162613776544,0.350621939395236,2.66443869458162,2.85881358094927
