ETO_lambda,n
100.00000000000004,400
100.00000000000004,400
100.00000000000004,400
100.00000000000004,400
100.00000000000004,400
100.00000000000004,400
100.00000000000004,400
100.00000000000004,400
100.00000000000004,400
21.544346900318843,400
100.00000000000004,400
100.00000000000004,400
100.00000000000004,400
100.00000000000004,400
100.00000000000004,400
100.00000000000004,400
100.00000000000004,400
100.00000000000004,400
100.00000000000004,400
100.00000000000004,400
100.00000000000004,400
100.00000000000004,400
100.00000000000004,400
100.00000000000004,400
100.00000000000004,400
100.00000000000004,400
100.00000000000004,400
100.00000000000004,400
100.00000000000004,400
100.00000000000004,400
100.00000000000004,400
100.00000000000004,400
100.00000000000004,400
100.00000000000004,400
100.00000000000004,400
100.00000000000004,400
100.00000000000004,400
100.00000000000004,400
100.00000000000004,400
100.00000000000004,400
100.00000000000004,400
100.00000000000004,400
100.00000000000004,400
100.00000000000004,400
21.544346900318843,400
100.00000000000004,400
100.00000000000004,400
100.00000000000004,400
100.00000000000004,400
100.00000000000004,400
100.00000000000004,600
21.544346900318843,600
100.00000000000004,600
100.00000000000004,600
100.00000000000004,600
100.00000000000004,600
100.00000000000004,600
100.00000000000004,600
100.00000000000004,600
100.00000000000004,600
100.00000000000004,600
100.00000000000004,600
100.00000000000004,600
100.00000000000004,600
100.00000000000004,600
100.00000000000004,600
100.00000000000004,600
100.00000000000004,600
100.00000000000004,600
100.00000000000004,600
100.00000000000004,600
100.00000000000004,600
100.00000000000004,600
100.00000000000004,600
100.00000000000004,600
100.00000000000004,600
100.00000000000004,600
100.00000000000004,600
100.00000000000004,600
100.00000000000004,600
100.00000000000004,600
100.00000000000004,600
100.00000000000004,600
100.00000000000004,600
100.00000000000004,600
100.00000000000004,600
100.00000000000004,600
100.00000000000004,600
100.00000000000004,600
100.00000000000004,600
100.00000000000004,600
100.00000000000004,600
100.00000000000004,600
100.00000000000004,600
100.00000000000004,600
100.00000000000004,600
100.00000000000004,600
100.00000000000004,600
100.00000000000004,600
100.00000000000004,600
100.00000000000004,800
21.544346900318843,800
100.00000000000004,800
100.00000000000004,800
100.00000000000004,800
100.00000000000004,800
100.00000000000004,800
100.00000000000004,800
100.00000000000004,800
100.00000000000004,800
100.00000000000004,800
100.00000000000004,800
9.999999999999991e-05,800
100.00000000000004,800
100.00000000000004,800
100.00000000000004,800
100.00000000000004,800
100.00000000000004,800
100.00000000000004,800
100.00000000000004,800
100.00000000000004,800
100.00000000000004,800
100.00000000000004,800
100.00000000000004,800
100.00000000000004,800
100.00000000000004,800
100.00000000000004,800
100.00000000000004,800
100.00000000000004,800
100.00000000000004,800
100.00000000000004,800
100.00000000000004,800
100.00000000000004,800
100.00000000000004,800
100.00000000000004,800
100.00000000000004,800
100.00000000000004,800
100.00000000000004,800
100.00000000000004,800
21.544346900318843,800
100.00000000000004,800
100.00000000000004,800
100.00000000000004,800
100.00000000000004,800
100.00000000000004,800
100.00000000000004,800
100.00000000000004,800
100.00000000000004,800
100.00000000000004,800
100.00000000000004,800
100.00000000000004,1000
100.00000000000004,1000
100.00000000000004,1000
100.00000000000004,1000
100.00000000000004,1000
100.00000000000004,1000
100.00000000000004,1000
100.00000000000004,1000
100.00000000000004,1000
100.00000000000004,1000
100.00000000000004,1000
100.00000000000004,1000
9.999999999999991e-05,1000
100.00000000000004,1000
100.00000000000004,1000
100.00000000000004,1000
100.00000000000004,1000
100.00000000000004,1000
100.00000000000004,1000
100.00000000000004,1000
100.00000000000004,1000
100.00000000000004,1000
100.00000000000004,1000
100.00000000000004,1000
100.00000000000004,1000
100.00000000000004,1000
100.00000000000004,1000
100.00000000000004,1000
100.00000000000004,1000
100.00000000000004,1000
100.00000000000004,1000
100.00000000000004,1000
100.00000000000004,1000
100.00000000000004,1000
100.00000000000004,1000
100.00000000000004,1000
9.999999999999991e-05,1000
100.00000000000004,1000
100.00000000000004,1000
100.00000000000004,1000
100.00000000000004,1000
100.00000000000004,1000
100.00000000000004,1000
100.00000000000004,1000
100.00000000000004,1000
100.00000000000004,1000
100.00000000000004,1000
100.00000000000004,1000
100.00000000000004,1000
100.00000000000004,1000
100.00000000000004,1200
100.00000000000004,1200
100.00000000000004,1200
100.00000000000004,1200
100.00000000000004,1200
100.00000000000004,1200
100.00000000000004,1200
100.00000000000004,1200
100.00000000000004,1200
100.00000000000004,1200
100.00000000000004,1200
100.00000000000004,1200
100.00000000000004,1200
100.00000000000004,1200
100.00000000000004,1200
100.00000000000004,1200
100.00000000000004,1200
100.00000000000004,1200
100.00000000000004,1200
100.00000000000004,1200
100.00000000000004,1200
100.00000000000004,1200
100.00000000000004,1200
100.00000000000004,1200
100.00000000000004,1200
100.00000000000004,1200
100.00000000000004,1200
100.00000000000004,1200
100.00000000000004,1200
100.00000000000004,1200
100.00000000000004,1200
100.00000000000004,1200
100.00000000000004,1200
100.00000000000004,1200
100.00000000000004,1200
100.00000000000004,1200
100.00000000000004,1200
100.00000000000004,1200
100.00000000000004,1200
21.544346900318843,1200
100.00000000000004,1200
100.00000000000004,1200
100.00000000000004,1200
100.00000000000004,1200
100.00000000000004,1200
100.00000000000004,1200
100.00000000000004,1200
100.00000000000004,1200
100.00000000000004,1200
100.00000000000004,1200
100.00000000000004,1400
100.00000000000004,1400
100.00000000000004,1400
21.544346900318843,1400
100.00000000000004,1400
100.00000000000004,1400
100.00000000000004,1400
100.00000000000004,1400
100.00000000000004,1400
100.00000000000004,1400
100.00000000000004,1400
100.00000000000004,1400
100.00000000000004,1400
100.00000000000004,1400
100.00000000000004,1400
100.00000000000004,1400
100.00000000000004,1400
100.00000000000004,1400
100.00000000000004,1400
100.00000000000004,1400
100.00000000000004,1400
100.00000000000004,1400
100.00000000000004,1400
100.00000000000004,1400
100.00000000000004,1400
100.00000000000004,1400
100.00000000000004,1400
100.00000000000004,1400
100.00000000000004,1400
100.00000000000004,1400
100.00000000000004,1400
100.00000000000004,1400
100.00000000000004,1400
100.00000000000004,1400
100.00000000000004,1400
100.00000000000004,1400
100.00000000000004,1400
100.00000000000004,1400
100.00000000000004,1400
21.544346900318843,1400
100.00000000000004,1400
100.00000000000004,1400
100.00000000000004,1400
100.00000000000004,1400
100.00000000000004,1400
100.00000000000004,1400
100.00000000000004,1400
100.00000000000004,1400
100.00000000000004,1400
100.00000000000004,1400
100.00000000000004,1600
100.00000000000004,1600
100.00000000000004,1600
100.00000000000004,1600
100.00000000000004,1600
100.00000000000004,1600
100.00000000000004,1600
100.00000000000004,1600
100.00000000000004,1600
100.00000000000004,1600
100.00000000000004,1600
100.00000000000004,1600
100.00000000000004,1600
100.00000000000004,1600
100.00000000000004,1600
100.00000000000004,1600
100.00000000000004,1600
100.00000000000004,1600
100.00000000000004,1600
100.00000000000004,1600
100.00000000000004,1600
100.00000000000004,1600
100.00000000000004,1600
100.00000000000004,1600
100.00000000000004,1600
100.00000000000004,1600
100.00000000000004,1600
100.00000000000004,1600
100.00000000000004,1600
100.00000000000004,1600
100.00000000000004,1600
100.00000000000004,1600
100.00000000000004,1600
100.00000000000004,1600
100.00000000000004,1600
100.00000000000004,1600
100.00000000000004,1600
100.00000000000004,1600
100.00000000000004,1600
4.641588833612779,1600
100.00000000000004,1600
100.00000000000004,1600
100.00000000000004,1600
100.00000000000004,1600
100.00000000000004,1600
100.00000000000004,1600
100.00000000000004,1600
100.00000000000004,1600
100.00000000000004,1600
100.00000000000004,1600
